date,close,open,high,low,open,high,low,open,high,low,open,high,low,open,high,low
21.01.1994,11.49,11.466,11.573,11.388,11.622,11.622,11.466,11.807,11.857,11.599,11.933,11.933,11.723,12.165,12.165,11.881
24.01.1994,12.192,11.599,12.216,11.599,11.466,11.573,11.388,11.622,11.622,11.466,11.807,11.857,11.599,11.933,11.933,11.723
25.01.1994,12.115,12.25,12.349,11.515,11.599,12.216,11.599,11.466,11.573,11.388,11.622,11.622,11.466,11.807,11.857,11.599
26.01.1994,11.723,12.216,12.216,11.65,12.25,12.349,11.515,11.599,12.216,11.599,11.466,11.573,11.388,11.622,11.622,11.466
27.01.1994,11.881,11.784,11.958,11.749,12.216,12.216,11.65,12.25,12.349,11.515,11.599,12.216,11.599,11.466,11.573,11.388
28.01.1994,12.014,12.092,12.092,11.958,11.784,11.958,11.749,12.216,12.216,11.65,12.25,12.349,11.515,11.599,12.216,11.599
31.01.1994,11.749,12.042,12.042,11.749,12.092,12.092,11.958,11.784,11.958,11.749,12.216,12.216,11.65,12.25,12.349,11.515
1.02.1994,11.749,11.832,11.933,11.749,12.042,12.042,11.749,12.092,12.092,11.958,11.784,11.958,11.749,12.216,12.216,11.65
2.02.1994,11.723,11.749,11.749,11.547,11.832,11.933,11.749,12.042,12.042,11.749,12.092,12.092,11.958,11.784,11.958,11.749
3.02.1994,11.599,11.698,11.832,11.599,11.749,11.749,11.547,11.832,11.933,11.749,12.042,12.042,11.749,12.092,12.092,11.958
4.02.1994,10.814,11.547,11.573,10.814,11.698,11.832,11.599,11.749,11.749,11.547,11.832,11.933,11.749,12.042,12.042,11.749
7.02.1994,11.281,10.896,11.364,10.873,11.547,11.573,10.814,11.698,11.832,11.599,11.749,11.749,11.547,11.832,11.933,11.749
8.02.1994,11.155,11.388,11.388,11.105,10.896,11.364,10.873,11.547,11.573,10.814,11.698,11.832,11.599,11.749,11.749,11.547
